MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
RAM;1024;uint8_t;1;9;clock();2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;2.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
RAM;1024;uint8_t;1;10;clock();1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;1.000000e-06;1.600000e-06;6.400000e+14;4.898979e-07;1.500000e-05%;
SSD;1024;uint8_t;1;1;clock();1.110000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;9.200000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;2;clock();1.090000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;8.100000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;3;clock();1.080000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;8.300000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;4;clock();1.080000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;7.400000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;5;clock();1.080000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;7.300000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;6;clock();1.080000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;7.300000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;7;clock();1.070000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;7.300000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;8;clock();1.200000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;6.300000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;9;clock();1.090000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;6.200000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
SSD;1024;uint8_t;1;10;clock();1.080000e-04;1.096000e-04;9.343066e+12;3.611094e-06;1.189781e-05%;9.100000e-05;7.650000e-05;1.338562e+13;9.739096e-06;1.239869e-04%;
RAM;1024;uint8_t;1;1;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;2;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;3;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;4;clock();1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
